,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64
5885,tomatoes,unsalted butter,garlic cloves,kosher salt,parmigiano reggiano cheese,spaghetti,hot red pepper flakes,organic tomato,fresh basil leaves,ground black pepper,extra-virgin olive oil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5886,tomatoes,fresh tarragon,garlic cloves,chopped fresh chives,salt,flat leaf parsley,ground black pepper,extra-virgin olive oil,fresh lemon juice,whole milk ricotta cheese,country style bread,chopped fresh mint,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5887,pepper,extra-virgin olive oil,onions,tomatoes,active dry yeast,all-purpose flour,mozzarella cheese,radicchio,Sangiovese,minced garlic,salt,fresh basil leaves,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5888,ricotta cheese,all-purpose flour,milk,vanilla extract,white sugar,eggs,butter,confectioners sugar,baking soda,salt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5889,pasta,broccoli florets,cucumber,shredded cheddar cheese,cauliflower florets,shredded carrots,salt,tomatoes,butter,salad dressing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5890,water,zucchini,garlic cloves,tomato sauce,eggplant,yellow bell pepper,red bell pepper,table salt,ground black pepper,broccoli,spaghetti,olive oil,grated parmesan cheese,green beans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5891,olive oil,crumbled gorgonzola,vegetable broth,dry white wine,pears,arborio rice,chopped fresh sage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5892,panko,slider buns,crushed red pepper,lean ground pork,large eggs,shallots,garlic cloves,olive oil,marinara sauce,part-skim ricotta cheese,fresh parsley,sausage casings,ground black pepper,basil leaves,salt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5893,capers,olive oil,garlic,pepper,roma tomatoes,ripe olives,chili flakes,grated parmesan cheese,salt,anchovies,vermicelli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5894,kosher salt,asparagus,cream cheese,arborio rice,parmesan cheese,edamame,olive oil,chopped fresh thyme,garlic cloves,lower sodium chicken broth,ground black pepper,chopped onion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5895,tomato paste,white onion,butter,all-purpose flour,sausage links,crushed tomatoes,sea salt,chicken broth,water,heavy cream,black pepper,yukon gold potatoes,garlic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5896,baby spinach,salt,fresh lemon juice,parmigiano reggiano cheese,extra-virgin olive oil,blanched almonds,black pepper,large garlic cloves,fresh oregano,fresh basil leaves,chopped fresh thyme,linguine,organic vegetable broth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5897,fat free lemon curd,orange liqueur,light cream cheese,powdered sugar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5898,arborio rice,grated parmesan cheese,vegetable stock,garlic cloves,olive oil,dry white wine,white truffle oil,fresh basil,bay leaves,chopped fresh thyme,onions,shiitake,crimini mushrooms,butter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5899,garlic cloves,butter,coarse kosher salt,baby spinach leaves,low salt chicken broth,all-purpose flour,polenta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5900,sugar,olive oil,green onions,bread flour,black pepper,dry yeast,salt,warm water,fresh parmesan cheese,balsamic vinegar,tomatoes,salad greens,cooking spray,provolone cheese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5901,olive oil,butter,garlic cloves,clams,grated parmesan cheese,linguine,italian seasoning,fresh basil,dry white wine,fresh mushrooms,ground black pepper,red pepper,fresh parsley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5902,solid white tuna,feta cheese crumbles,pinenuts,linguine,fresh basil,extra-virgin olive oil,sun-dried tomatoes in oil,sliced black olives,garlic cloves,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5903,unsalted butter,fresh parsley,milk,herbes de provence,black pepper,orzo,onions,parmesan cheese,cream of mushroom soup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5904,ground black pepper,extra-virgin olive oil,basil leaves,red pepper flakes,grated parmesan cheese,red bell pepper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5905,minced garlic,dijon mustard,anchovy paste,boneless skinless chicken breast halves,kosher salt,ground black pepper,worcestershire sauce,olive oil cooking spray,romaine lettuce,fresh parmesan cheese,red wine vinegar,fresh lemon juice,fat-free croutons,water,soft tofu,extra-virgin olive oil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5906,fontina cheese,cherry tomatoes,dry white wine,grated nutmeg,fresh basil,unsalted butter,whipping cream,garlic cloves,fettucine,asparagus,fresh shiitake mushrooms,freshly ground pepper,sugar pea,broccoli florets,salt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5907,ground black pepper,crushed red pepper,pasta,center cut bacon,oil,kale,large garlic cloves,fresh lemon juice,parmigiano reggiano cheese,salt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5908,olive oil,Bisquick Original All-Purpose Baking Mix,buttermilk,dried rosemary,salt,roasted red peppers,garlic cloves,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5909,tomatoes,wheat berries,garlic,fresh lemon juice,sugar,albacore,salt,capers,olive oil,purple onion,bay leaf,orange,hot pepper,fresh herbs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5910,olive oil,garlic cloves,pancetta,dry white wine,basil leaves,diced tomatoes in juice,penne,whipping cream,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5911,frozen chopped spinach,diced tomatoes,celery,dried beans,carrots,pasta,beef broth,italian seasoning,parmesan cheese,dried minced onion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5912,sugar,all purpose unbleached flour,baking soda,salt,roasted cashews,large eggs,grated orange,water,vanilla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5913,fresh basil,garlic cloves,sugar,crushed red pepper,tomato sauce,italian seasoning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5914,chicken breast halves,grated lemon peel,pesto,chopped walnuts,lemon wedge,olive oil,fresh lemon juice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5915,grape tomatoes,fusilli,fresh basil leaves,roasted pistachios,salt,lemon wedge,garlic cloves,fresh parmesan cheese,extra-virgin olive oil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5916,kale,California bay leaves,unsalted chicken stock,extra-virgin olive oil,thyme sprigs,pancetta,unsalted butter,rib,parsley sprigs,garlic,onions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5917,pepper,and fat free half half,baking potatoes,fresh rosemary,salt,olive oil,garlic cloves,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5918,capers,olive oil,dijon mustard,diced tomatoes,garlic,flat leaf parsley,olives,white wine,sherry vinegar,grated parmesan cheese,anchovy paste,salt,truffle salt,fresh oregano leaves,radicchio,endive,crushed red pepper flakes,artichokes,whole wheat thin spaghetti,honey,ground black pepper,lemon,extra-virgin olive oil,garlic cloves,arugula,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5919,grated parmesan cheese,salt,pepper,fresh mozzarella,boneless skinless chicken breasts,italian seasoning,roasted red peppers,basil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5920,pinenuts,extra-virgin olive oil,grated parmesan cheese,spaghetti,kosher salt,garlic cloves,loosely packed fresh basil leaves,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5921,sugar,ground black pepper,red pepper flakes,penne pasta,sage,ground ginger,kosher salt,boneless skinless chicken breasts,paprika,cream cheese,black pepper,grated parmesan cheese,bacon,sauce,chicken,rub,garlic powder,onion powder,salt,heavy whipping cream,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5922,ground black pepper,salt,olive oil flavored cooking spray,baguette,shallots,fresh parsley,fresh basil,mushrooms,garlic cloves,olive oil,crumbled ricotta salata cheese,fresh basil leaves,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5923,capers,pecorino romano cheese,olive oil,low salt chicken broth,kosher salt,garlic cloves,russet potatoes,onions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5924,spanish onion,finely chopped fresh parsley,yellow bell pepper,kosher salt,ground black pepper,grated parmesan cheese,rotini,olive oil,"green bell pepper, slice",garlic cloves,crushed tomatoes,broiler chicken,crimini mushrooms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5925,sliced almonds,leaves,brie cheese,cauliflower,water,dry white wine,reduced sodium chicken broth,unsalted butter,thyme sprigs,arborio rice,olive oil,florets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5926,zucchini,sea salt,onions,fresh basil,large eggs,extra-virgin olive oil,dried oregano,water,potatoes,flat leaf parsley,celery ribs,parmigiano reggiano cheese,cracked black pepper,plum tomatoes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5927,italian style stewed tomatoes,garlic,ground black pepper,sliced carrots,chopped cilantro fresh,sausage links,zucchini,beef broth,great northern beans,white hominy,salt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5928,hot cocoa mix,skim milk,instant espresso,sugar,crushed ice,water,boiling water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5929,fettuccine pasta,feta cheese crumbles,fresh basil,extra-virgin olive oil,pitted kalamata olives,purple onion,tomatoes,ground black pepper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5930,low-fat buttermilk,grated lemon zest,unflavored gelatin,whole milk,apple juice,sugar,mint sprigs,fresh lemon juice,cooking spray,blueberries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5931,kosher salt,lean ground beef,fresh parsley,fresh rosemary,grated parmesan cheese,Italian seasoned breadcrumbs,large eggs,cracked black pepper,onions,fresh basil,marinara sauce,garlic cloves,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5932,water,cinnamon,ricotta,candied orange peel,unsalted butter,fine sea salt,lard,semolina flour,granulated sugar,all-purpose flour,large egg yolks,vanilla,confectioners sugar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5933,arborio rice,kosher salt,butter,white wine,dried basil,saffron,clams,bottled clam juice,ground black pepper,salmon,water,yellow onion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5934,grated parmesan cheese,olive oil,pecorino romano cheese,mozzarella cheese,ricotta cheese,large eggs,all-purpose flour,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5935,eggs,garlic,onions,bread crumb fresh,fresh parsley,ketchup,ground beef,tomato sauce,carrots,white sugar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5936,warm water,salt,olive oil,bread flour,water,all-purpose flour,fresh rosemary,dry yeast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5937,capers,lemon slices,butter,fresh parsley,chicken stock,Sicilian olives,boneless skinless chicken breast halves,olive oil,all-purpose flour,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5938,blue cheese dressing,angel hair,boneless skinless chicken breast halves,Alfredo sauce,fresh tomatoes,steak seasoning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5939,white wine vinegar,olive oil,oregano,water,garlic cloves,eggplant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5940,olive oil,fresh basil,salt,sugar,rice vinegar,tomatoes,purple onion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5941,extra-virgin olive oil,spaghetti,bread crumb fresh,anchovy fillets,large garlic cloves,flat leaf parsley,red chili peppers,salt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5942,unsalted butter,grated lemon peel,flat leaf parsley,garlic cloves,campanelle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5943,fettucine,shallots,oleo,half & half,parmesan cheese,shrimp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5944,ricotta salata,extra-virgin olive oil,spaghettini,eggplant,freshly ground pepper,cherry tomatoes,salt,basil leaves,garlic cloves,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5945,ground black pepper,shallots,white mushrooms,chicken broth,dry white wine,portabello mushroom,arborio rice,grated parmesan cheese,butter,olive oil,chives,sea salt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5946,dried basil,lean ground beef,onions,tomato paste,eggplant,garlic,dried oregano,water,grated parmesan cheese,dry bread crumbs,dried thyme,diced tomatoes,dried parsley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5947,sugar,semisweet chocolate,salt,large egg yolks,dark rum,slivered almonds,coffee granules,almond extract,marsala wine,whole milk,corn starch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5948,olive oil,pasta sauce,fresh parsley,fresh basil,salt,pepper,onions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5949,frozen ravioli,pasta sauce,mozzarella cheese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5950,white wine,shallots,fresh basil leaves,fresh tomatoes,light cream,beef broth,mussels,minced garlic,butter,red chili peppers,jalapeno chilies,corn starch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5951,olive oil,cavolo nero,chopped cilantro fresh,rib,white onion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5952,semolina,salt,powdered sugar,large eggs,orange zest,unsalted butter,cornmeal,dried currants,flour,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5953,salt,romano cheese,dried oregano,ground black pepper,chopped garlic,white bread,flat leaf parsley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5954,genoa salami,large eggs,onions,swiss chard,extra-virgin olive oil,ground black pepper,garlic cloves,kosher salt,pecorino romano cheese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5955,minced garlic,asparagus,boneless skinless chicken breast halves,chicken stock,olive oil,salt,dried oregano,white wine,ground black pepper,onions,dried basil,grated parmesan cheese,carnaroli rice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5956,tomato paste,pepper,red pepper flakes,garlic,celery,italian seasoning,pancetta,fish sauce,grated parmesan cheese,heavy cream,beef broth,onions,tomatoes,parmesan cheese,red wine,salt,fresh parsley,pasta,dried porcini mushrooms,balsamic vinegar,basil,carrots,short rib,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5957,fresh orange juice,campari,chilled prosecco,orange rind,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5958,spinach leaves,low-sodium low-fat chicken broth,lemon zest,corn starch,water,salt,large eggs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5959,cottage cheese,salt,ground beef,tomato sauce,grated parmesan cheese,shredded mozzarella cheese,eggs,ground black pepper,chopped onion,dried oregano,tomato paste,garlic powder,jumbo pasta shells,dried parsley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5960,instant espresso powder,sugar,whipping cream,coffee,water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5961,fennel seeds,ground black pepper,tuna packed in olive oil,orange,chickpeas,fedelini,cooking oil,fresh parsley,crushed tomatoes,salt,onions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5962,fontina cheese,country bread,extra-virgin olive oil,ground white pepper,zucchini,fleur de sel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5963,seasoned bread crumbs,spaghetti,eggs,prosciutto,olive oil,pasta sauce,round steaks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5964,plain dry bread crumb,onions,red pepper,olive oil,top round steak,veggies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5965,angel hair,olive oil,shredded mozzarella cheese,minced garlic,butter,seasoned bread crumbs,grated parmesan cheese,onions,pasta sauce,"green bell pepper, slice",steak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5966,fresh basil,chunky,brine-cured olives,olive oil,tuna packed in water,fettucine,dry red wine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5967,baking soda,vegetable oil,all-purpose flour,confectioners sugar,egg yolks,buttermilk,cream cheese,shortening,flaked coconut,vanilla extract,chopped pecans,egg whites,butter,margarine,white sugar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5968,green onions,sour cream,mayonaise,shredded sharp cheddar cheese,garlic,Italian bread,unsalted butter,shredded mozzarella cheese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5969,fresh basil,extra-virgin olive oil,garlic cloves,water,salt,parmigiano reggiano cheese,yellow onion,tomato purée,crushed red pepper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5970,butter,ground black pepper,salt,sliced green onions,fresh mint,grated parmesan cheese,lemon juice,penne,part-skim ricotta cheese,fresh parsley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5971,tomato paste,water,chopped celery,fresh mushrooms,onions,reduced fat cheddar cheese,garlic,chopped onion,ripe olives,low sodium worcestershire sauce,ground red pepper,broiler-fryers,carrots,spaghetti,vegetable oil cooking spray,stewed tomatoes,green pepper,chopped parsley,italian seasoning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5972,shredded reduced fat cheddar cheese,broccoli florets,garlic cloves,part-skim mozzarella cheese,low-fat pasta sauce,olive oil,refrigerated pizza dough,ground black pepper,chopped onion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5973,half & half,linguini,olive oil,butter,clams,parsley,parmesan cheese,garlic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5974,cherry tomatoes,ricotta cheese,fresh basil leaves,fresh basil,won ton wrappers,crushed red pepper,black pepper,parmesan cheese,salt,chicken broth,olive oil,white wine vinegar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5975,pork,grated parmesan cheese,purple onion,arborio rice,vegetable oil spray,red wine vinegar,flat leaf parsley,tomatoes,large eggs,peas,olive oil,lettuce leaves,salt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5976,baguette,shredded cheese,butter,water,garlic cloves,pepper,salt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5977,part-skim mozzarella cheese,crushed red pepper,eggplant,cooking spray,italian seasoning,seasoned bread crumbs,fresh parmesan cheese,tomato basil sauce,large egg whites,large eggs,garlic cloves,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5978,vegetable stock,pinenuts,penne pasta,tomatoes,garlic,grated parmesan cheese,fresh basil leaves,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5979,capers,garlic,dried oregano,dried basil,"roast red peppers, drain",mozzarella cheese,crushed red pepper,tomatoes,olive oil,fresh parsley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5980,peeled tomatoes,pizza doughs,extra-virgin olive oil,dried oregano,capicola,goat cheese,minced garlic,crushed red pepper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5981,black pepper,parmigiano reggiano cheese,lemon wedge,fresh lemon juice,salad greens,boneless skinless chicken breasts,all-purpose flour,kosher salt,egg whites,white wine vinegar,sugar,olive oil,shallots,dry bread crumbs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5982,fennel bulb,extra-virgin olive oil,flat leaf parsley,cherry tomatoes,oil-cured black olives,all-purpose flour,fronds,large garlic cloves,striped bass,dry white wine,purple onion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5983,grated parmesan cheese,italian seasoning,orzo,bacon,sliced green onions,seasoning salt,toasted pine nuts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5984,dried basil,garlic,sun-dried tomatoes,boneless skinless chicken breast halves,olive oil,noodles,crumbled goat cheese,roasted red peppers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5985,pinenuts,granulated sugar,cooking spray,salt,turbinado,triple sec,large eggs,dried tart cherries,warm water,large egg yolks,dried apricot,butter,fat free milk,dry yeast,golden raisins,all-purpose flour,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5986,chicken broth,olive oil,white wine,shredded parmesan cheese,black pepper,onion flakes,arborio rice,kosher salt,chopped garlic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5987,butter,smoked salmon,fresh parsley,tomatoes,heavy whipping cream,ground black pepper,onions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5988,eggs,ricotta cheese,romano cheese,salt,pasta sauce,cheese ravioli,frozen chopped spinach,pepper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5989,semisweet chocolate,salt,canola oil,sugar,baking powder,natural pistachios,large eggs,all-purpose flour,white chocolate,almond extract,dried raspberry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5990,parmigiano reggiano cheese,extra-virgin olive oil,flat leaf parsley,shiitake,heavy cream,freshly ground pepper,asparagus,peas,penne rigate,shallots,salt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5991,baking powder,white sugar,eggs,vanilla extract,butter,lemon zest,all-purpose flour,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5992,salt and ground black pepper,butter,arborio rice,butternut squash,grated parmesan cheese,onions,chicken stock,dry white wine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5993,water,zucchini,diced tomatoes,diced celery,olive oil,cannellini beans,chopped onion,dried oregano,ground pepper,ditalini,garlic cloves,dried basil,grated parmesan cheese,salt,carrots,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5994,kosher salt,sweet potatoes,freshly grated parmesan,fresh oregano,ground black pepper,rigatoni,olive oil,garlic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5995,sugar,tea bags,cranberry juice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5996,ladyfingers,dark rum,orange rind,chocolate instant pudding,vanilla instant pudding,slivered almonds,almond extract,fat free frozen top whip,fat free milk,amaretto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5997,fresh basil,large eggs,garlic cloves,ground black pepper,pecorino romano cheese,plum tomatoes,finely chopped onion,salt,large egg whites,cooking spray,flat leaf parsley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
